Livro;Autor;Data;Gênero;Nota
Sapiens;Yuval Noah Harari;01/07/2020;História;❤️,🌕🌕🌕🌕🌑
Homodeus;Yuval Noah Harari;10/11/2020;História;❤️,🌕🌕🌕🌕🌕
21 lições para o século 21;Yuval Noah Harari;21/11/2020;História;🌕🌕🌕🌕🌕
A volta ao mundo em 80 dias;Júlio Verne;24/11/2020;Ação e Aventura;🌕🌕🌕🌕🌕
Vinte mil léguas submarinas;Júlio Verne;04/12/2020;Ficção Científica;🌕🌕🌕🌕🌑
A Ilha Misteriosa;Júlio Verne;13/12/2020;Ação e Aventura;❤️,🌕🌕🌕🌕🌕
Neuromancer;William Gibson;23/12/2020;Ficção Científica;❤️,🌕🌕🌕🌕🌕
Revival;Stephen King;04/01/2021;Terror/Thriller;❤️,🌕🌕🌕🌕🌕
Count Zero;William Gibson;01/02/2021;Ficção Científica;🌕🌕🌕🌕🌑
Mona Lisa Overdrive;William Gibson;09/02/2021;Ficção Científica;🌕🌕🌕🌕🌑
A Bússola de Ouro;Philip Pullman;17/02/2021;Fantasia;❤️,🌕🌕🌕🌕🌕
A Faca Sutil;Philip Pullman;28/02/2021;Fantasia;❤️,🌕🌕🌕🌕🌕
A Luneta Âmbar;Philip Pullman;09/03/2021;Fantasia;❤️,🌕🌕🌕🌕🌕
Capitães da Areia;Jorge Amado;17/03/2021;Ficção Contemporânea;🌕🌕🌑🌑🌑
Fahrenheit 451;Ray Bradbury;22/03/2021;Distopia;🌕🌕🌕🌕🌑
Uma Breve História do Tempo;Stephen Hawking;31/03/2021;Tecnologia e Ciência;🌕🌕🌕🌕🌕
O Ceifador;Neal Shusterman;04/04/2021;Distopia,Ficção Científica;❤️,🌕🌕🌕🌕🌕
A Nuvem;Neal Shusterman;07/04/2021;Distopia,Ficção Científica;❤️,🌕🌕🌕🌕🌕
O Timbre;Neal Shusterman;19/04/2021;Distopia,Ficção Científica;❤️,🌕🌕🌕🌕🌕
O Fim da Infância;Arthur C. Clarke;25/04/2021;Ficção Científica;🌕🌕🌕🌕🌕
2001: Uma Odisseia no Espaço;Arthur C. Clarke;05/05/2021;Ficção Científica;🌕🌕🌕🌕🌑
Guerra sem fim;Joe Haldeman;12/05/2021;Ficção Científica;🌕🌕🌕🌕🌗
Um Cântico para Leibowitz;Walter M. Miller Jr;30/05/2021;Distopia,Ficção Científica;🌕🌕🌕🌕🌑
Um Estudo em Vermelho;Arthur Conan Doyle;06/06/2021;Mistério;🌕🌕🌕🌑🌑
Fundação;Isaac Asimov;20/06/2021;Ficção Científica;❤️,🌕🌕🌕🌕🌕
Fundação e Império;Isaac Asimov;03/07/2021;Ficção Científica;🌕🌕🌕🌕🌗
Segunda Fundação;Isaac Asimov;17/07/2021;Ficção Científica;❤️,🌕🌕🌕🌕🌕
Encontro com Rama;Arthur C. Clarke;27/07/2021;Ficção Científica;🌕🌕🌕🌕🌑
Periféricos;William Gibson;24/08/2021;Ficção Científica;🌕🌕🌕🌕🌗
Sob a Redoma;Stephen King;05/09/2021;Ficção Científica;❤️,🌕🌕🌕🌕🌕
